id,review,type_review,date,language,views,votes,score
Alireza480Ra,"If you're SO poor that you need to review a game based on cost, then please stop posting on metacritic. 15 dollars! Let me go check the ashtray in my car so I can pay for this DLC. 15 bucks is a pack of gum to me. You people should write reviews that matter instead of bashing a masterpiece.Short but sweet. An amazing follow up to the main story with a lot of emotional moments and some amazing character development for Ellie. I loved this DLC, and the ending is also perfect.",normal,2020-07-09,English,1,1,10
StevenTieson,"Not worth the money.,Should probably be ignored,This is the point when they went woke.,,The base game has way more to offer and is way more interesting with an actual well written story.",expanded,2020-07-09,English,5,0,0
Disko-Kjell,"This works as a great DLC and expands the lore of The Last of Us, while not disturbing or altering the main game's story. This DLC gives a deeper understanding of Ellie and why she behaves the way she does. Like in the main story, Ellie has a great chemistry with her partner, which in this game is Riley, and I truly believed that these were two best friends trying to make the best of the world they live in, much thanks to the actresses great work. Cutting between the naïve Ellie and the hardened Ellie during winter trying to keep an unconscious Joel alive. It's an interesting dynamic of character which shows what she has learned between the two time periods. A problem I have with Left Behind is the runtime of around two to three hours. Those two to three hours are great, but it feels like more content could have been given to these characters, but at least it never drags or outstays its welcome. The new welcoming mechanic of making the humans infected fight each other is refreshing and makes the player react to battles differently and it shakens things up. If you don't have had enough of The Last of Us, then this is a sure purchase on your front. Just be prepared that it isn't that long, clocking in at around three hours maximum if you search every level.",normal,2020-07-07,English,0,0,8
jhonathaperes,"Loved it, just what the game needed to expand its narrative. Very well made, I recommend it to all the fans of the first game.",expanded,2020-07-03,English,0,0,10
ViKtOr5,"Очень хочу пройти, но пока не купил PS4. Прошел 1 часть и она мне понравилась. Уж слишком она атмосферная и грустная.",expanded,2020-07-03,Russian,0,0,10
Wizard2703,"Nice addition. which shows a little of Ellie’s background. In general, I liked it because it reveals more to Ellie as a character",expanded,2020-07-03,English,0,0,8
Adolamin,"The game causes a ton of PS4's to overheat.  It's not even playable, I can't believe this has even gotten good scores.  The system cannot handle it.",expanded,2020-07-02,English,3,0,0
RegisterNewCow,Good game ! I wish they could have built on jeols story a bit more but  Great game otherwise,expanded,2020-07-01,English,0,0,10
BrandoNation23,"A great short story of Ellie. The storytelling is again the highlight here, the new character Riley is a great addition to Ellies backstory. Would recommend to anyone who is a fan of the The Last of Us",expanded,2020-07-01,English,0,0,9
Scose,A great expansion to the original story. I loved the relationship between Ellie and Riley.,expanded,2020-07-01,English,0,0,8
Jonathon30388,"A decent addition to a masterpiece, i recommend you play it for the story, but you may only play it once",expanded,2020-06-29,English,1,0,7
JohnsonMeados,"This is overpriced for what it offers.,There is way more value in the base game.,Note that the story is also infinitely better in the main game.,This is the exact point in time where they invented, ""the agenda""",expanded,2020-06-29,English,14,1,0
jamescastells,"Not gonna lie, I cried with this game. Short, but sweet. I recommend it to everybody who finished part 1.",expanded,2020-06-28,English,0,0,9
Necrophat,"A brilliant DLC to an incredible game, this DLC slides into the main story perfectly and is a great additiona, if you enjoyed the main game then you must play this DLC. 10/10.",expanded,2020-06-27,English,0,0,10
JxVMM,"Melhor DLC que já joguei na vida, simplesmente incrível poder ver como a ellie cuidou do Joel, e também saber mais sobre o passado dela.",expanded,2020-06-26,Portuguese,4,2,10
Moish,"A moving short story in addition to a main game that its a masterpiece that goes deeper into character development, brief and simple gameplay but very meaningful.",expanded,2020-06-25,English,1,1,8
Jessicaw,Great DLC that fills some gaps in the game and adds a little background to Ellies character.,expanded,2020-06-22,English,0,0,10
DefaltWorld,"Muy buena forma de saber un poco mas de nuestra protagonista del juego, Ellie, este juego nos muestra la historia de ella con su mejor amiga , e incluso parece ser novia al final pero no dejan claro si siempre fue asi, muy recomendado para los fans",normal,2020-06-20,Spanish,0,0,10
Sourvinakos,The story stands well on its on but also adds to the experience of the original game. The new combat situations stand among the best of the main game and especially the moments where you fight infected and humans at the same time are fresh and give a lot more strategic possibilities.,expanded,2020-06-20,English,1,1,8
Thegodfatherr,"A fantastic insight into Ellie's backstory,At barely more than two hours long some might feel Left Behind is a little too short",expanded,2020-06-20,English,0,0,8
PartII,"Its great, its not that long, its like a side story, i liked it. Ppl are gonna hate on it bcs of the part 2 game.",expanded,2020-06-19,English,1,0,10
Critiquo,"Half of the content is quite good, and genuinely adds to the story of the main game, while the other half seems confusing and ultimately unnecessary to the greater picture.",expanded,2020-06-18,English,2,0,6
WudzZalesia,"Left Behind wasn't bad, but for max. 3 hours of gameplay it doesn't deserve a better rating. They could've just put Ellie and Riley story to that comic and the 'Mid-game part' in the core game. It didn't needed to release as a 'game'. At least it's for free on PS4 but imagine paying for this on PS3.",expanded,2020-05-25,English,1,0,7
akhilm,This is good DLC for best game ever. Adds some of Ellie's back story that was alluded to in the full game.,expanded,2020-04-29,English,1,1,9
TheNewYorkArts,"as much as an expansion on the original title was very desired ever since it dropped, Left Behind doesn't feel like a rip-off or a forced new installment, it feels natural and flows well. its length may be the only thing one could object, but at the end of the day, it was just a DLC. even when being aware of the backlash that having an LGBTQ+ lead character may come with - as showcased by various user reviews - the game smoothly introduces us to a new, deeper level of Ellie's life, and we finally get to understand why she is who she is, the stories and experiences that forged her. it's definitely a good step towards the future of the saga.",normal,2020-02-18,English,1,1,10
PanMrkvicka,"Its fine short DLC after you finish the game, there are some fun mini games and the gameplay is overall the same as the actuall game but the ellies backstory wasnt all that interesting.",expanded,2020-02-11,English,1,0,7
c1nemAlex,"Left Behind is the perfect addition to the main game, using the same mechanics. What it adds is another proof of the developers' capability of highly intense, mature and emotional storytelling, filling in a few plot holes from the main game and providing the fans with the both uplifting and sad backstory of the beloved character Ellie. Just one advice to the players: Don't leave the Halloween costume store too early if you don't want to miss one of the most empathically crafted pieces of character building ever put into a videogame.",normal,2020-02-05,English,1,1,10
showt,"Отличный спин-офф от оригинальной игры,Графика 10/10,Сюжет 8/10,Музыка 10/10,Тех часть 10/10,Персонажи 10/10",expanded,2019-12-09,Russian,1,1,9
BradMorgan,"Left behind was a nice addition to the original game. Certainly because this DLC takes place before and during the original story.  Focus was more on the person Ellie. It is not really a spectacle, but the reflection of two teenagers trying to have fun in a far-reaching and dangerous world is very sad and beautiful at the same time. Downside was the environment that felt monotonous sometimes and afterwards I still had many questions about Riley.",normal,2019-10-04,English,0,0,7
AcidSnake3,"I only have a thing or two to say: A-This should have been free, total waste of money.,B- Whoever put that Jak x reference should have thought about it twice, that is an awesome game, unlike the crap these guys have been pulling out of their asses.",expanded,2019-03-07,English,16,6,0
Cloud302,"Serving as a prequel to The Last of Us, (and a sequel to the Last of Us: American Dreams comics), you get to meet Riley for the first time, in-game, and are taken on a short (but powerful) journey of heart that emphasizes exploration, and if taken at a leisurely and appreciative pace, could be unlike anything you've ever experienced in the realm of gaming to date.,,Note: The head writer of Last of Us himself, Neil Druckmann heavily recommends that you read the prequel comics first (as do I), as they're official storyline, and they tell the story of how Ellie first meets Riley, which occurs before the story within this DLC, and sets the stage for a great deal of what occurs within it. ALSO, do NOT play this DLC before having completed the core campaign of The Last of Us, or else several major plot points will be tainted for you.",normal,2019-02-27,English,0,0,10
Leontorres7,"A Masterpiece, loved everything about this game, it is definitely a must play!",expanded,2018-11-15,English,0,0,10
mj_arthur,"This DLC is very short (2hours) and inconsequential towards the story. Its by far the worst DLC I had ever played. Good thing i got it for free, otherwise I would have been irate. Naughty dog was clearly trying to squeeze out every last penny from its fans and its rather pathetic. Nevertheless, TLOA is still in my top 4 games ever despite the DLC disappointment",expanded,2018-06-20,English,2,0,1
iddqd4,"Потусить в магазине, пофоткаться, поиграть на сломанном аркадном автомате, пострелять из водяных пистолетов и поцеловать Райли на 10 из 10.",expanded,2018-01-18,Russian,2,1,10
Daedric,this game perfect There's nothing wrong with it. Interesting Sometimes sad like a movie. I do not need words. buy now,expanded,2018-01-03,English,4,2,10
CapnConundrum,"The whole point of Ellie's character is her innocence and childlike quality, and all the emotional effect she adds to the main game is predicated upon that.  This dlc strips her of that.  It's just stupid, and it's terrible writing.  It's done to be trendy and that's extremely patronising to the people it's trying to emulate.  I was very disappointed that they went in that direction.  As for the rest of it, I love Ellie, and I love getting to play as her.  I did enjoy the whole thing.  I was expecting a much greater deviation from the story though.  I was thinking you might play as Joel's brother or something, and try to make a safe town.  That would have been something interesting and new within their world, and given Neil Druckman's narrative prowess, it would have felt like a good short story.  Instead, to follow the metaphor, it's like an unneccessary addition to an already perfect book.  It's like buying a chapter that was quite rightly edited out.  It's still great because it's The Last of Us, and I'll give it a high-ish score only because I want to be fair, but in the context of the story, just take it or leave it.  You wouldn't be missing much.  Weighed against The Last of Us, it sucks.  I'm honestly not sure whether it adds or detracts.",normal,2017-05-16,English,1,0,7
tremault,"This DLC was not something I looked forward to. I have seen many DLC that are so low quality and add very little substance to the original. then I saw this through to the end and I have to say this effected me far more than the entire game of 'last of us'. the story of the two young girls rekindling their friendship was so deep and it totally drew me in. It was so well staged that I fell in love with Riley and after finishing it I have found myself in tears a lot recalling the precious moments they spent together. It's so magical, it reminds me of a lot of precious moments from my own life and the delivery is incredible. there were times that I just didn't even think of them as characters, the animation and lighting etc was so realistic I felt like I was looking at real people.,The action parts and traversing the environment was fairly rewarding. I liked the change in the way the game plays with the different character. climbing and getting around the environment seems more of a focus with Ellie and the fighting also has me feeling more vulnerable. which is perfect for playing as a young girl. Fact is though, she can truly do some real damage and hold her own in a pinch which impresses me no end.",normal,2017-04-05,English,2,1,9
thryce3,"Easily the best DLC ever made.  The story and acting are incredible, just as in the main game.  Who would have thought hearing a character describe a video game inside a video game could be so engrossing?  Plus, taking this part of the story out of the main game actually adds to the experience considering it partially takes place during a bit a of a cliffhanger of the main story. Playing the main game again afterwards, you pick up on a lot of references to Left Behind",normal,2017-02-12,English,3,2,10
likevin96,"Pros:,- Plugs a critical hole in the original's narrative,- Playing as Ellie is fun and noticeably different from Joel,- Introduces a new scenario (infected and humans in the same encounter) that probably should have been in the original,- Water gun section was fun,,Cons:,- Not much is new here,- Not a big fan of Riley's character,- Arcade sequence was kind of cheesy,,True Score: 8.4",expanded,2017-01-17,English,2,1,8
winterbox,"This DLC is a nice little side story about Ellie's past and ""present"" which many would recognize from the main story. I also wondered what and how Ellie patched up Joel by herself and it was cool to be able to play it out. The DLC is not long, rather it is super short, and not too long and dragged out to become boring or stale. Two stories ran parallel to each other with the player (you) participating in both ""time lines"". I thought this was pretty cool, but I have seen this technique used in other games. Regardless, it was fun and a nice little touch after the main events of The Last of Us.",normal,2017-01-09,English,2,1,10
XxJoseManuelxX,"The Last of Us: Left Behind is an action-adventure survival horror video game developed by Naughty Dog and published by Sony Computer Entertainment.,,Ellie returns as new light is shed on her relationship with Riley, her best friend from the military boarding school they both grew up in. After inexplicably disappearing for weeks, Riley reemerges in Ellie’s life with a surprising revelation. The two sneak out of their school for the last time, leading to a series of events that will forever change both of their live.,,+ Ellie and Riley Relationship",normal,2016-08-16,English,3,1,10
MasterRiley,"Left Behind is the perfect single player DLC to the masterpiece The Last of Us. It introduces the new character Riley and tells a heart warming story about her and Ellie's developing relationship within their apocalyptic world. Just like the original game; amazing performances, great graphics, great writing, great gameplay, and great music make Left Behind a masterpiece. This is the best DLC. Ever.",normal,2016-08-09,English,3,2,10
rquant,"The brief moments of combat and puzzles are good. But the drama simulator between Ellie and her friend that takes up most of the DLC is overly serious, way too mushy, and doesn't add substance to the main game. I want to play a gritty post-apocalypse game, not The Gilmore Girls.",expanded,2016-08-01,English,1,0,6
DLight03,"The best DLC ever made. If you you're a rah-rah-pow-pow shoot'em up type of person, then this DLC isn't for you. If, however, you absolutely love the universe created in The Last of Us and you value narrative and dialogue above all-else, you will get a bite-sized game that is polished on par with the original game. A truly fantastic prequel to TLOU that gives great insight into Ellie as a character and her life before meeting Joel. Also, you'll notice that almost all the negative reviews that exist for this game can't help but mention ""that scene."" It's clear that bigotry has motivated some angry reactions from some people. Don't let that be you. Play the game, pay attention to what it's trying to tell you and enjoy it. It's fantastic.",normal,2016-05-19,English,4,1,10
aadityamudhar,This is one of the best DLCs I've ever played. It's affordable and it provides a very in depth backstory to Ellie you couldn't get without playing the DLC. It's not the longest DLC but DLCs shouldn't be long as they are... well... DLCs. I recommend it highly!,expanded,2016-04-17,English,2,1,9
josesueiro,"Ellie returns as new light is shed on her relationship with Riley, her best friend from the military boarding school they both grew up in. After inexplicably disappearing for weeks, Riley reemerges in Ellie’s life with a surprising revelation. The two sneak out of their school for the last time, leading to a series of events that will forever change both of their lives",expanded,2016-04-14,English,2,1,10
mikehettfield,"Didn't like the main game too much, but this part i just simply love it,now i see why everybody loves Ellie, i know there's a section on the main game for her but i wanted more, and this is it.",expanded,2016-04-12,English,97,2,10
Tyger44,"Very few games release worthwhile pieces of single player DLC. But, how can a masterpiece like the last of us go wrong. Well, Left Behind heads up delivering lackluster gameplay and the worst love story in video history. Not only is the revelation of Ellie being gay something that completely undermines this great character, but the banter between her and Riley (her actor does a horrible job) lack the substance that Ellie's interactions with Joel had in the main game. The encounters with both the hunters and infected in the winter chapter are the high points of the DLC, but the human AI isn't good enough to be intimidating. Not to mention the fact that Left Behind is two hours long and has little replay value. All this for $10 or $15! JUST DON'T BUY IT! This prequel causes great damage to The Last of Us in the same way that the phantom menace damaged Star Wars. It is a shame that the last of us has come to this, and has me worried about Uncharted 4 and The Last of Us 2.",normal,2015-11-30,English,5,2,3
drlowdon,"At barely more than two hours long some might feel Left Behind is a little too short. For me however it is  great example of what DLC can offer if the developers make the effort by retaining the great gameplay of the original, albeit in smaller chunks, whilst telling its own self contained story (as well as filling in a gap in the main games story) through delightfully written and acted cut scenes.",normal,2015-08-28,English,2,2,8
Flameslfc,"The story is actually quite impacting and well put together. Characters interact well and the relationship between the girls develops believably. The game play is good but....,,IT'S WAAAAY TOO SHORT! I mean you have barely warmed up and it's done. Felt a but conned by the end.",expanded,2015-06-24,English,1,0,6
CrazyGwen,The best experience ever! the story never bores and although the end was predicted even if you hits. And now ellie is the important character because in the last of us joel is,expanded,2015-06-20,English,14,2,10
Thegodfatherson,"NOTE: I DID NOT PLAY THIS ON A PS3, I PLAYED THE PS4 VERSION.,,Left Behind, is an undoubted masterpiece, it is one of the best DLC's out there. There is much more to the heart wrenching story of The Last Of Us, Left Behind is more human and excel in every way. It starts up in th middle of the events of The Last Of Us, Joel is badly wounded, and Ellie needs something to patch him up, or he will die of blood loss. She ventures into the Shopping Mall to find Health Aid Kits. But the story jumps back and forth between Ellie's mission to help Joel and Ellie's past with her friend Riley. And the transition between these events takes place smoothly enough to give you a sense of excitement and sadness mixed together in a nice martini of passion made by developer Naughty Dog. The best moments strike when you go around the mall with Riley and explore things that Ellie has never seen before, like Photo Booths, Merry Go Rounds and Arcades. At one point, you get to have a water fight and go inside a Halloween shopping store and dress up as wearwolves, and at one point in your life, you may have down those things, that is why Left Behind is so excellent on its own way. It is so human, that even when you're having fun, you are crying inside of you, it's clings on to you and never lets go even after it ends. There are smartly designed combat sections, like always, the horror is there and it is better than ever. If you have played The Last Of Us, you might know that the clickers of runners are no the biggest threat, the humans are, and the AI has significantly improved over the main game itself. If you have finished one of the best games ever created, this should be a breeze for you, a breeze that is warm and smells nicer than ever. At one point, I found a tape recorder that had a recording of a soldier telling his story as his wounds drag him down and eventually kill him, the depth gone into each and every part of this game is incredible and a Naughty Dog continues to impress me game after game and DLC after DLC. Left Behind is a must play, you have to experiance this human masterpiece. Left Behind can be called a game of it's own, you'll cringe, you'll cry, you'll remember.",normal,2015-04-25,English,4,2,10
SportsareCrap,"Last of us DLC Left Behind is True Survivor Horror Game unlike Resident Evil 4 Resident Evil 5 Resident Evil 6 Resident Evil Revelations Resident Evil Revelations 2 Combine.,If you liked Survivor Horror Game buy Last of us Digital or New Sealed not Soulless Used.,Please buy Real DLC Left Behind Filesize is over 2GB.,,Please Avoid rest DLC since Rest are Pay to Unlock aka On Disc DLC.",expanded,2015-02-16,English,5,1,8
qdbug,"The Greatest Heart Warming Action Packed, game iv'e ever played.... Im a girl so i personally cry whenever i see sarah die, but  ive played this game 13 times in completion and i just cant break free from this AMAZING game. TO EVERYONE if you think this game sounds girly or like a chic flick, i say to go crawl down a hole.... and die, Cant really get past the fact Ellie turns out to be gay, but im not against gay people, just the fact that its really not been in a game before 10/10",normal,2014-08-27,English,25,2,10
JAGUAR10,"I haven't even finished this yet but already I don't like it.  I absolutely LOVED The Last of US  - best game and story I've ever played - played it about 3 times already and counting.  Gave it a 10 out of 10.  This DLC has ruined it for me.  Ellie was cute and precocious in TLOU with her occasional cussing here and there - somehow they made it cute - probably because she had more profound dialog in other areas. In Left Behind they went overboard - she comes across as a foul-mouthed wanna-be punk trying to please Riley by showing her how cool she is and how much she can cuss.  Can't believe this came from the same writer.  Or did it?  At one point she says, 'they can suck my dick?""  She doesn't even have one!!  This line totally turned me off coming from Ellie.  Totally unnecessary.    I do not like the Riley character at all - she doesn't really seem to care for Ellie at all - she's a manipulator and seems like a thrill-seeker who doesn't care if Ellie gets in trouble.  And spending 1/2 hour in a Halloween shop listening to two teenagers cuss up a storm is my kind of fun!  NOT!!   The whole time they were in the mall I kept wanting to scream to them - ""You idiots - keep your voices down, there could be infected around!!""  Totally inane dialog and did not make me like either of them at all.  In fact, I felt sorry for Ellie.  She needs to 'wisen the **** up' regarding Riley.,,And then the gay thing - why do they always have to throw this crap in games?  I'm not anti-gay -  I'm anti-gratuitous sex!!  I just don't see the reason for this.  Why couldn't they just be friends without having sexual overtones thrown in?   I know some girls go through this getting a crush on an older girl stage in life, but what I'm against is gratuitous sex, period!  And I'm getting sick of it in games, TV, movies, etc.  This game would have been just fine (well, a lot better anyway) without that scene!!   Even though they implied that Bill was gay (there we go again) TLOU  had no sex or romance and was a 10 out of 10 game!  That should tell you something Naughty Dog.  You don't need sex to sell games.  Good stories and game play sell games.  And Bill was extremely funny and had great lines!  Best minor character, IMO.   And it seemed to fit with the world - not too many women around his town so it made sense.  A good story is what counts -  And Left Behind is not a good story.  In fact, it lowered my opinion of Ellie - I thought she was smarter that this!,,The only thing that saves this DLC is when Ellie is hunting for supplies to help Joel.  Then we get back to the real Last of Us.  I absolutely love the Joel character and this was one of the most touching scenes in the first game.  Always wondered how Ellie stitched him up or even got him back on the horse after he fell off.,,I'll continue playing but I was glad I used an Amazon gift certificate for this so was only out $4.99.  Not your best effort at all, Naughty Dog.  More is not always best - we don't need more sex, more cussing and more background to Ellie's life just to make a buck.  Very disappointed!!!!!!!!!,,BTW - this is the reason I do not pre-order games.  You think a company makes a great game so the next will be great?  NOT!!!  No matter how great the first game is companies tend to rush out DLC or 2nd games just to make money.  Was burned by Dragon Age 2, Watch Dogs, etc.  and now this.",normal,2014-08-25,English,12,6,1
sityoazzdown,"Pretty good dlc, but in my opinion the length of this dlc brings this standalone purchase down by a lot. I beat it in about 3 hours, and that includes scavenging. But nonetheless this is a pretty good compliment to The Last of Us, intense moments mixed in with unique/happy moments was what made this dlc good for me. If this was a teaser for upcoming sequels of the game, then I am stoked for this franchise.",normal,2014-08-23,English,4,2,8
LiquidFrostbite,"A solid expansion to the already amazing ""The Last of Us."" It's a great addition to the story of the main game, allowing us to learn more about the beloved Ellie, whom we fell in-love with during the original story. I would love to see more of this.",expanded,2014-08-22,English,3,1,8
JoshLuck1995,"Adds to the already amazing experience of The Last Of Us, it gives a good insight to Ellie's story and is a good DLC. Would recommend to every TLOU fan out there",expanded,2014-08-09,English,2,1,9
ITZZZPERRY,"The Last of Us: Left Behind is an excellent dlc for an already great game. It tells a short but unforgettable experience. The gameplay is as good as always, and not much more can be said, as it is so good.",expanded,2014-07-26,English,2,1,9
azco98,"Just like The Last of Us, Left Behind has proven that great gameplay can coexist with a great story that sheds more light in Ellie's backstory, making her an even cooler character.,My only issue with the DLC is that it is too short, and the combat was at times original (making infected and other humans fight each other) and at times difficult, maybe making it almost unnecessary.,Even though, I think any PS3 owner should play this (and the main story, of course).",normal,2014-06-30,English,2,1,9
kenmil,"Boring, girl talk movie clip with a dash of action, and of course, the same clunky controls and poor fighting mechanics. A total waste of money. I will avoid this company's games in future.",expanded,2014-06-16,English,16,1,2
YoutubeTGW,"This was a great DLC I don't know what else to say without spoiling, it fills on some missing parts and introduces Ellie's background story I wasn't at all disappointed.",expanded,2014-06-06,English,0,0,10
RedRyan18,Left Behind is one of the greatest downloadable games ever done.  It fleshes out a character we fell in love with before and also surprises us in way's so few other games ever do.,expanded,2014-05-22,English,2,1,9
erichw23,"Thought I would drop in quick and give a quick comment. First off I love The Last of Us. It was an amazing game and I've spent a lot of time in the game. With that said, the $15 I payed for this 2 hour sad fest was very disappointing, if anything this DLC should have been free to $5. Keep in mind when I say this I think most DLC should be around $5 if your only getting 1 or 2 hours of content that may or may have not been ripped from the making of the original game.  Anyway, this is not any special insight into Ellie’s background, there is one tiny revelation that is hinted at earlier in the game that is confirmed here. Nothing else, the DLC is filled with bad mini games, along with one specific battle that feel like it was pulled from the original game and shelled off as DLC. The only part I enjoyed was some of the dialogue. I just can't understand how people are OK with paying $15 for this. Don't keep doing this people or content will continue to shrink and have no actual value.",normal,2014-05-22,English,2,0,4
thebotsko,"The greatest DLC I've ever played and it has the great story line, for being a DLC. After I heard that this was coming out I immediately pre-ordered it, well actually I pre-ordered it on Christmas",expanded,2014-05-20,English,3,1,10
borba72,"Don't buy it. Why? 1) It's too short. It's about 1 and a half our of gameplay. 2) Ellie and Riley flashback parts are just boring. The two of them arguing. The two of them playing with water pistols, breaking car's windows, taking photos in a booth. The good part is the one showing how Ellie got medicine to patch Joel up.",normal,2014-05-19,English,1,0,6
