id,review,date,score
Eurogamer Germany,"The rich environments and the heartfelt, touching story easily make the price-tag seem irrelevant. Left Behind is on par with the main game in all but length, built with great care and attention to detail. It's the best DLC I have ever played and even though I never for a moment wanted The Last of Us to extend beyond its perfect conclusion, Naughty Dog almost made me think that a sequel to this might not be a bad idea after all.",2014-02-19,100
GameTrailers,"It doesn't just add a few extra chapters to the existing campaign, or some new weapons and skins like so many other DLC add-ons. Instead, it adds some actual meaning, gives us a new way to play and an intimate look into Ellie's poignant past that is essential to any fan of the series.",2014-02-19,92
ZTGD,"It may be a little short, but for $15 players get a great story to add onto The Last of Us, and those looking for another reason to jump back into the game have just found it.",2014-02-19,85
Gamereactor Sweden,"If you loved the main game, you really can't afford to miss this DLC out. We get to know Ellie a lot better and only lack of game time prevents this from higher grades.",2014-02-19,80
Giant Bomb,"Some may knock Left Behind for its relative brevity, at two to three hours, but this is one of those clear cases of quality over quantity, and I for one appreciate an add-on that imparts a lot of narrative value to a game like this without overstaying its welcome. It's delightfully ironic that the one game which really didn't need any DLC has received one of the best pieces of DLC in recent memory.",2014-02-18,100
DarkStation,Left Behind is how story DLC should be done.,2014-02-18,100
PSX Extreme,"It's difficult to find any messy balancing or inconsistencies, which is a tremendous accomplishment in and of itself.",2014-02-18,95
Hardcore Gamer,The Last of Us: Left Behind captures everything that is great about The Last of Us and distills it down into a tight two hour journey.,2014-02-18,90
Toronto Sun,"What ultimately makes Left Behind special is the same thing that made The Last of Us one of the best games of 2013: characters we can relate to, care about and invest in. It’s well worth the pain of one more goodbye.",2014-02-18,90
Digital Chumps,"Left Behind is pretty short, but very sweet, and for what it lacks in length, it makes up for in quality. Well worth the investment for those who want to revisit or otherwise experience a new story (well, two) within the despair-filled world of The Last Of Us.",2014-02-18,86
games(TM),"While the set pieces set within the present day offer an intense gameplay experience and an interesting twist on The Last Of Us’ combat, there’s a sense of obligation rather than the cohesiveness we’ve come to expect from the developer.",2014-02-18,80
Game Revolution,Left Behind barely scratches the itch I’ve been hoping to claw at since I put the controller down last summer. It's a bite-sized extension of the characters and lives fans connected with so deeply.,2014-02-18,70
Guardian,"Left Behind does nothing new with The Last of Us' tense and exhilarating gameplay rhythm; you're always either in intense danger, or fearfully anticipating the next moment of intense danger. But it tells a different story, one that's more compact and more affecting for it, and it shows that Naughty Dog has serious emotional range. Rarely have I played anything as powerful.",2014-02-17,100
COGconnected,"While excellent, Left Behind definitely could have been longer, but with such a well crafted little story, it’s hard to fault the game for not giving me some more monster killing filler.",2014-02-17,95
LevelUp,"Left Behind does a great job to complement a game that seemed impossible to improve. Even if there are few new mechanics, it's hard to complain when you have such a solid base from where to build an interesting setting.",2014-02-17,92
Merlin'in Kazanı (Turkey),"If you want to explore Ellie's tragic past further, Left Behind is the right place. Naughty Dog nailed how a DLC should be with this tragic and memorable background story.",2014-02-17,91
SpazioGames,"It's still a masterful piece, but this DLC never truly hits the spot like the main game's story did. If you crave some more The Last of Us, and want to know Ellie even better though, you won't be disappointed.",2014-02-17,80
GameFront,"This is a package that manages to tell a new story within the threads of The Last of Us, and the overall tapestry is richer for having it.",2014-02-17,80
Digital Spy,"With excellent characters, emotionally charged storytelling and tense action set-pieces, deciding whether or not to revisit Naughty Dog's stunning game world really is a no-brainer.",2014-02-14,100
Destructoid,"Short but sweet. $15 is a tall ticket for three hours of content, but this content is just as beautifully crafted as the original game was. More importantly, it gives fans of The Last of Us another chance to revisit its world and further explore the life of Ellie. For the first time they'll see her in her element, with her guard down, letting you connect to her fully.",2014-02-14,90
Cheat Code Central,"While it is a bit short, this DLC pack offers some excellent gameplay and the chance for gamers like myself to fill in a few of the gaps in one of their favorite games of all time. Actually, I think this may be the only time I have spent more than 15 minutes at the mall and haven’t wanted to tear my hair out by the roots or sob quietly in a corner.",2014-02-14,90
Everyeye.it,"The narrative is incredibly dense and spectacularly written. There's no big bang finale here, but what's really important here is the experience, and what will be left of it when credits roll. Chances are, a lot to think about.",2014-02-14,90
Gamereactor Denmark,"If you're a fan of The Last of Us, you should download Left Behind immediately. The expansion exudes quality, and lives up to the high standards set by the base game in every way. Naughty Dog are the kings of the cinematic gaming experience, and unique in their ability to create believable and human characters that we empathize, laugh and cry with. Left Behind confirms that without wavering.",2014-02-14,90
LaPS4,"Left Behind offers the same emotion and intensity as The Last of Us, focusing on Ellie's relationship with Riley. Even so, the unbalanced relation between length and price may induce some players not to buy it.",2014-02-14,90
Meristation,"The Last of Us is one of the best games in recent years, and Left Behind keeps all of its virtues fresh. Riley is a great character and Ellie will be recorded in your heart. The only problem is that it is expensive for this duration of less than three hours.",2014-02-14,88
JeuxActu,"Despite a disappointing ending, Left behind is a much needed DLC, be it only to know how Ellie was able to protect herself from the outside, after being a naïve girl. This behavior evolution is magnified by winter episodes that remind the player that The Last of Us's gameplay has not aged a bit. The multifaction combat is not revolutionary, but it does bring a fresh look at the combat system, and allows to save your ammo. Top end direction, excellent OST what are we upset about Left Behind? Reading the American Dreams comic offers a very different flavor, and the crappy ending really ruins the lot.",2014-02-14,85
3DJuegos,Ellie is a great lead for this emotional tale. Left Behind offers a short but amazing second trip into the dark world of The Last of Us.,2014-02-14,85
IGN Italia,"Ellie grows up looking at the grown-up world of The Last of Us through her youthful eyes. It takes only a couple of hours of our life to grow up with her, though. If you have 15 euros Left Behind to play with Ellie and Riley, just do it. Your combat skills won’t grow up too much, but you will be filled with emotion by this short yet touching coming-of-age videogame.",2014-02-14,80
NowGamer,"The Last of Us: Left Behind doesn't feel as essential as the main game, but that shouldn't detract from the fact that it's a no-brainer for those who loved The Last of Us.",2014-02-14,80
God is a Geek,"Truly wonderful sections of youthful exuberance give way to bleak moments of horror and desperation. Two hours may not seem all that long, but the impact Left Behind has will be with you for hours afterwards.",2014-02-13,100
Eurogamer,"A beautifully crafted addendum to The Last of Us, a game that already stood tall above many of its peers. While it could have benefited from yet more exploration, its impeccable level design utilises its environments to take Ellie and Riley - wonderfully portrayed by Ashley Johnson and Yaani King - on a trip that is not easily forgotten, underpinned by sparing use of Gustavo Santaolalla's beautiful score.",2014-02-13,100
Eurogamer Italy,"Left Behind is a stunning DLC. A little bit short, but still impressive, emotional and incredible. You'll be dragged into Ellie's past with a mix of crushing feelings you'll never forget. And yes, we're still speaking of ""just"" a videogame.",2014-02-13,100
PlayStation LifeStyle,"Left Behind is worth the wait, worth every penny you spend on it, and worth the two-hour plus investment of time you put into playing it. It’s even worth playing The Last of Us in its entirety again before loading up Left Behind for the first time so you can get the most out of the atmosphere, gameplay, and connection to these deep characters.",2014-02-13,95
Push Square,"This is a touching, intelligent, and largely refreshing extension to the core escapade, and while it’s not exactly brimming with narrative revelations, it’s still a beautiful story that you shouldn’t let pass you by.",2014-02-13,90
GamingTrend,"The Last of Us: Left Behind is at its best when it focuses on the quiet, somber moments between our on-screen heroines. And while it may feel more like an expansion rather than a necessary addition, Left Behind’s narrative still feels important.",2014-02-13,90
TheSixthAxis,"There’s a brilliant approach to the narrative, while Ellie and Riley’s charm shines throughout, their wonder and imagination matching exactly how you’ll feel as you return to this world.",2014-02-13,90
GameSpot,An excellent addition that gives further insight into the chilling world of The Last of Us and its most interesting character.,2014-02-13,90
Playstation Official Magazine UK,"There are themes within this that I’m simply not good enough a writer to dissect (and I doubt few will do it justice). It’s incredible, considering the broader perception of video games, what Naughty Dog has managed to achieve in certain areas here.",2014-02-13,90
IGN,"With a bunch of collectibles to find, Trophies to earn, and memorable moments to experience, Left Behind is a must-play for fans of the original game. The context it gives alone is worth the price of admission.",2014-02-13,90
Game Informer,"At around two and a half hours long, it's not an epic experience, but another window into Ellie's life. Instead of blunting the impact as I feared, Riley and Ellie's story adds resonance to the original game's ending. For The Last of Us fans, this is a ride well worth taking.",2014-02-13,88
EGM,"The Last of Us was a powerful example of the potential in videogame storytelling. Left Behind adds to and continues that level of quality, giving us a glimpse into a moment in time for two characters that’s both engaging and gratifying.",2014-02-13,85
PlayStation Universe,"Such is the high bar set by Naughty Dog that we expected a little more from this bite-sized DLC package. Nonetheless, Left Behind is gloriously produced with an excellent storyline spin-off that gives you a deeper insight into Ellie's character.",2014-02-13,80
Metro GameCentral,"Another masterful mix of interactive story and brutal action, and which despite the short running time still packs an emotional punch.",2014-02-13,80
Machinima,"A touching account of two young girls struggling to make sense of a world stripped of its humanity, and it is a tale worth exploring. Nevertheless there are moments the gameplay feels disjointed from the narrative, potentially pitting the overlapping stories at odds with one another. Admittedly, it’s wonderful to spend more time with Ellie, especially before her involvement with the Fireflies.",2014-02-13,80
Polygon,"Left Behind is small and quiet, but it's also confident in a way The Last of Us never quite achieved.",2014-02-13,80
Gameplanet,"Left Behind shares many of the traits that make The Last of Us so good, but as a prequel, it is unable to surprise the player with its parent game's trump card – its plot. Even so, it's an enjoyable companion piece to the best game of last year.",2014-02-13,75
Gameblog.fr,Left Behind extends The Last of Us with a good (but short!) story and some enjoyable gameplay additions.,2014-02-13,70
VideoGamer,The Last Of Us' story was pretty much perfect in terms of what it wanted to achieve. This does nothing to build on or take away from that.,2014-02-13,70
