id,review,type_review,platform,date,language,views,votes,score,split
TagMeisteR,"A brilliant and ground-breaking Game that set the standard for linear cinematic story-driven games. Everything about this Game, besides some visual details and animations, has held up wonderfully. The Game is still 100% worth playing nearly a decade later, and should be played by anyone remotely into videogames.",expanded,ps3,2021-02-07,English,0,0,10,train
Brunoprado,Muito bom muito bom muito bom muito bom muito bom muito bom muito bom muito bom,normal,ps3,2021-01-29,Portuguese,0,0,10,train
adaircriticoxd,"el mejor juego que e jugado, es una maraavilla, tanto en gameplay que es genial sobretodo el combate cuerpo a cuerpo , el soundtrack que es hermoso, la banda sonora que es igual de maravillosa que los demas apartados y la historia que es una de las pocas que me a hecho sentir tantas emociones",expanded,ps3,2021-01-27,Spanish,0,0,10,train
psmoon21,"This game is remembered above all for its story, but it is very poorly told, with poor phrases and predictable enough,,the game in its missions is repetitive, slow, rough and even graphically it is not the most incredible of ps3 or ps4.,,It has some issues like stupid i.a, bugs, audio issues, and a b.s.o. very discreet,,it is one of the most overrated games in history if it is not the first.",expanded,ps3,2021-01-27,English,0,0,0,train
TimFort,"Это лучшая игра, в которую я играл когда-либо, в ней прекрасно все!",expanded,ps3,2021-01-23,Russian,0,0,10,train
Nyks0201,İlk oynadığımda anlamıştım joel in bu hareketi yapcagına ellie yi kurtarmasu tek kelime ile süperdi,normal,ps3,2021-01-18,Turkish,0,0,10,train
RodStrokes,"Is the game great? Absolutely, but its a masterpiece groundbreaking genre-defining experience? not even close.,,Everything on the game its good, the gameplay its decent, the graphics are absolutely amazing, the ambiance/environment is stunning, the story is really great, but at the end of the day, its just another zombie survival game, its a really good one? yes, but its just that.",expanded,ps3,2021-01-15,English,0,0,8,train
catspats,"Однозначно игра не для всех, для любителей стелса возможно. Эта игра переоценена. Прошел до половину и просто надоело играть дальше .",expanded,ps3,2021-01-14,Russian,0,0,5,train
paperstiger,Honestly I do not like the game and I give up after like 2 hours. I was playing the remastered version. The game is insanely difficult and frustrating even if I was playing at normal difficulty. The tutorial is simply bad and there are many hidden  information that is not told and I have to rely on searching for tips which is honestly what I hate especially in my first walkthrough. I do not like Naughty Dog games since the pace is too slow and there is not much fun in the gameplay (I mean uncharted which I give up after playing like 6 chapters),normal,ps3,2021-01-08,English,1,0,0,test
PrinceNBD,"The greatest Playstation game of all time, hands down. Game of the Year, Game of the Generation and Game of the Decade. These are a few of the countless honors it got. Obviously I can't list every accolade this game won because it would be a daunting task to mention 200 awards in a single review. That's right, this masterpiece of a game won over 200 awards and it deserved every last one of them. I can't sing any more praises about this game that already haven't been sung before.,If you own a PlayStation console (PS3/PS4/PS5) and you still haven't played this game, then I don't know what to say to you except, maybe you should think about selling your console. Because in a way, you're wasting your money by not utilizing your investment. This is literally the first game you should be playing after buying a PS console.,The Last of Us is the crown jewel of the gaming world. It is literally the best game ever made by Playstation and one of the greatest games of all time.",normal,ps3,2021-01-04,English,0,0,10,train
Saszha01,"One of the best games for me in history.  Unfortunately, for me personally, the story of the game ends in the first part.",expanded,ps3,2021-01-03,English,0,0,10,train
YuriRys,"2 часть мне зашла больше, но эта игра для своего времени просто шикарна, особенно персонажи)",expanded,ps3,2021-01-03,Russian,0,0,10,train
Draetah,I ended up buying a PS3 just to play this game and it was 100% worth it. The game is one of if not the only game to ever regret finishing it as I wanted more. Sure TLOU2 is out but it just doesn’t compare to this masterpiece.,expanded,ps3,2021-01-03,English,0,0,10,train
1nfarkt,"Лучшая игра на PS. До сих пор. Несмотря на то, что графика уже устарела.",expanded,ps3,2020-12-25,Russian,0,0,10,train
hkimxhkim,"اعتقد انها افضل لعبه في التاريخ لعده اسباب فهي سباقه في امور كثيره وقد رفعت من صناعه الالعاب بعدها , وتميزت بالقصه والسنيمائيه , حتي عند الموت تبدأ من حيث انتهيت لا يوجد تمطيط انها تجربه استثنائيه",expanded,ps3,2020-12-25,Arabic,0,0,10,train
Zaravala,"Best game ever! Perfect gaming, perfect graphics and perfect history. Every second of the game is gold",expanded,ps3,2020-12-25,English,0,0,10,train
Azhman,"I liked tragic intro for the game, and it goes to hole of story too, i played 3 times nonstop after ending it... thank you naughty dog",expanded,ps3,2020-12-24,English,0,0,10,train
DancerofDancers,"Story wise the last of us is a Masterpiece but gameplay wise the game felt a little lacking although the Gameplay had some great innovations it still felt like an uncharted gameplay copy and pasted, but who cares? This game's great.",expanded,ps3,2020-12-23,English,0,0,9,train
BGMAADC,классика среди всех игр. лучшая игра в нашем мире на данный момент. легенда,expanded,ps3,2020-12-21,Russian,0,0,10,train
ThiagoMoura,"O jogo merecia estar com uma nota bem a cima, jogo perfeito... Me  fez até chorar no final, poucos games tem uma história magnífica e profunda.",normal,ps3,2020-12-20,Portuguese,0,0,10,train
FrpMan,Çok güzel oyundu. Zamanı için müthiş grafikleri vardı. Oynanış olarak keyifliydi ve en önemlisi Joel ve Ellie :),expanded,ps3,2020-12-19,Turkish,0,0,9,train
MetaRogue,"The Last of Us is a masterpiece in every sense of the word. Never before have I played a game so compelling and emotionally gripping. The narrative is brilliantly paced, constantly going in unexpected directions and keeping you on the edge of your seat, but what shines even more is how the characters are brought to life through the excellently written dialogue and outstanding voice acting. What cements this believability further is the choreography and animation of the moment-to-moment action.,,I had my doubts about Naughty Dog's ability to transition from the high octane action filled exploits of the Uncharted series to something considerably darker, but Naughty Dog handles everything with a level of depth, nuance and maturity that truly showcases their talents as master storytellers.,,I experienced the full spectrum of emotions with this game from start to finish and it is a rare achievement for a game to make me fully care about every character in the story and how each of their journeys respectively end. It's also important to note that I rarely play a game twice in quick succession, but I loved this game so much that I made an exception. Truly one of the greatest games of all time.",normal,ps3,2020-12-17,English,0,0,10,test
JoelArpal,I have no words to say what i feel for this game. My journey with Ellie and Joel it's something i will never forget.,expanded,ps3,2020-12-16,English,0,0,10,train
JNex,Goat! I really fell back in love with gaming after playing this. The game itself is beautifully composed and designed,expanded,ps3,2020-12-15,English,0,0,10,test
Xabos211,"One of the best PS3 experiences worth exploring in depth. Must play, highly recommended!",expanded,ps3,2020-12-15,English,0,0,10,train
SunshineRex1885,"The Last of Us foi um game que no começo me pareceu ser bem chato, completei o jogo pela primeira vez e não foi um dos jogos que eu colocaria numa recomendação, mas foi na segunda jogada para pegar os coletáveis e o finalizar em 100% que eu acabei me apegando ao jogo, comecei a perceber a riqueza nos detalhes gráficos, o desenvolvimento do relacionamento dos personagens, o próprio vírus e o seu desenvolvimento nos infectados, o jogo é uma obra de arte! A Naughty Dog se atentou aos mínimos detalhes para trazer aos jogadores uma experiência incrível e muito emocionante, com certeza me oegulho por ter comoletado em 10p% um dos jogos que é obrigatório para quem é dono de um PS3 e de cara recomendo a qualquer um que não tenha jogado, pois certamente vale a pena!",normal,ps3,2020-12-14,Portuguese,0,0,10,train
Ahshsh,,normal,ps3,2020-12-13,Not identified,0,0,10,train
AAGamerS,,normal,ps3,2020-12-13,Not identified,0,0,10,train
thetim1201,"My all-time favourite game. I bought a PS3 to be able to experience it after hearing lots of excellent reviews, so my expectations were pretty high. I was not disappointed. The story, the characters, the cinematography and the gameplay itself are simply amazing. You form an emotional bond with the characters from the very beginning. Although many disliked the ending, I find it very good and apt. Love the game!",normal,ps3,2020-12-13,English,0,0,10,train
BrunoB,Esse game é uma obra de arte e merece ser jogado por todos ! Em questão narrativa consegue ser muito melhor que a Part 2,expanded,ps3,2020-12-13,Portuguese,0,0,10,test
darkhunter2,"This is my favorite game all time.Amazing story,amazing characters and amazing combat.Emotional story.Thank U Naughty Dog...",expanded,ps3,2020-12-11,English,0,0,10,train
GN27,"Um dos melhores jogos de todos, os tempos, em historia personagens gráficos e gameplay",normal,ps3,2020-12-09,Portuguese,0,0,10,train
Urpjeckt,"Tanti a osannare questo titolo, non c'è dubbio la trama e la narrativa sono eccezionali durante il gioco sono sempre stato teso in ansia sul chi va là ma la prima run è stata una strage non riuscivo a fare certi punti stealth manco a impegnarmi, comprai questo titolo per ps3 proprio perché era usato dal gamestop a poco meno di 10€ e perché non pensavo di procurarmi una ps4, come adesso che penso di non riuscire a procurarmi ps5, peccato che il multiplayer non venga più supportato, quindi niente platino, lo consiglio? Si se avete una ps4 e trovate la remaster a poco come me pagata 10€ al mediaworld, che pedalata per arrivare fino a là.",normal,ps3,2020-12-09,Italian,0,0,8,train
luigiymario1,"I played this game on my ps3 and the story was so intriguing that I kept playing it almost until completion in a single run but I did have to take breaks that's how much I loved playing this game, the gameplay experience was fun and the combats were really entertaining.",expanded,ps3,2020-12-08,English,0,0,9,train
rallianto,"A true masterpiece. Excels in almost every way a game can. Greatest part is the story telling. Weakest part is the gameplay itself. While the game sometimes is straight up boring to play, the amazing story is keeping you sucked in. Never have we seen such a character development in a game before, and never have we felt the story touch us like this before. Graphics are also amazing.,Also, the greatest part is the lack of identity politics, unlike it's sequel.,While this game is the height of what ND could achieve, this is probably one of the most interesting and innovative games ever made.,And then, the sequel, TLOU2 is the bottom for what a game can be! It's the worst game in the entire history of games. It is what happens, when you sell your sell and make your games about pushing a political message, rather than making a good game with a good story. TLOU2 is not even a game, it's a political message. It's the message ""you better hate Christianity"". The message ""you better hate men"". The message ""you better hate God"". ""Or you are a bigot"".,,Neil Drunkman are telling you to hate God, hate Christianity, hate men, hate society, hate the right leaning and endorse the left leaning. And if you don't agree you are a bigot. Yes, you! If you don't agree with Neil Drunkman on politics, you are a bigot! And if you buy this piece of propaganda, you are forced to play as a ""transgender"" (made up word) and you are forced to see your most beloved characters die in humiliating ways. Everything you loved about TLOU are destroyed and humiliated in the sequel. If you look at ""professional ratings"" for TLOU2 they are all 10/10. That's a joke. That's Sony paying off the the ""professionals"". If you look at regular people (who paid and bought the game to play it), they all give it 1/10. Because it's trash. It has nothing to do with the original. Joel is being killed of by a feminist transgender, to show that men are out and strong and independent women are in. We need to kill the men now, and let females rule. We need to kill of Christians because they are evil, and we need to endorse satanism and homosexuality and ""transgender"" people. We need to endorse men become women, and women becoming men. And if you don't, remember, YOU ARE THE BIGOT!!! **** Naughty Dog the worst game company of all time",normal,ps3,2020-12-06,English,0,0,9,train
Relenea,"İşte hayatımda bana bir şeyler öğreten sayıyı oyunlardan biri.,,Açıkçası The Last Of Us Oyununu ben 2013 Senesinden sonra sonra oynadım yani oyunu zamanında değerlendiremedim.,,The Last Of Us Serisi Benim için ayrı bir yerdedir bu oyunlar içerinde Part 2 de dahil.,,1-) Hikaye :,Hikaye 2013 senesinde yaşanan bir olayda Cordiseps mantarının ( Cordiseps mantarı gerçek dünyamızda bulunan ve karıncaları etkisine alarak zombi karıncalara çeviren bir mantardır ) insanlara bulaşması ve nüfusun yüzde 60'ını etkisine alıp yaptığı davranışların bilincinde olmayan çevresinde gördüğü canlılara saldırmaya iten bir takım yaratıklara çevirmesiyle başladı.,,2013 Senesinde Joel isimli ana karakterimiz kızı Sarah ile yaşamaktadır.,Bu sıralarda etkisini göstermeye başlayan salgın etkisini göstermeye başlayan salgın büyük bir karmaşa yaratır.İnsanlar etrafa kaçışır uzun trafikler oluşur enfekte olmuş insanlar karşılarına çıkan canlılara saldırır ve salgın giderek artar.Yangınlar çıkar akrabalar kaza yapar binalar yıkılır bu karmaşa içerinde kurtulmaya çalışan Joel, Sarah ve amcası Tommy'de kaçmaya çalışırlar tamda kaçmayı başardıklarını düşündükleri anda bir asker tarafından Sarah vurularak öldürülür.,Bizler ise oyunu 20 sonrasında yani 2033 yılında oynarız.,Kızımızın ölümü üzerinden uzun bir zaman geçmiştir.Arkadaşımız Tess ile ufak tefek kaçakçılık işleri yaparız.,Bu sırada ateş böcekleri isimli bir grup liderinde kaybettiğimiz eşyaları almak üzere aldığımız bir kargo teslimatında küçük bir kızı gitmesi gereken bölgeye götürürüz.Bu kızın İsmi Ellie'dir.,,Yolda arkadaşımız Tess'i kaybederiz ve şehrin yarısını Yanımızdaki küçük kız Ellie İle gideriz.,,Ve bu yolculukta çok çok az oyunda görebileceğimiz anlara şahit olur bazen ağlar bazen hüzünlenir bazen korkar bazen ise sinirleniriz.The Last Of Us Oyunun diğer oyunlar yanında parlamasının nedeni ise oynarken veya izlerken deneyimleyeceğiniz bu hikayedir.,,2-) Oynanış,Oynanışta ise bizleri gerçekten tatmin edici bir vuruş hissi her saldırdığımızda ise vuruş hissi kadar tatmin edici combat mekaniği karşılıyor.,Vuruş hissi gerçekten inanılmaz her silahın kendi tepkimeleri düşmanların vücutlarında sıktığınız bölgeye göre hasar vermeleri geliştirmelerinize göre silahınızın çok da kullanılabilir ve güçle hale gelmesi ve sayamayacağım daha nice detay...,Combat mekanikleri ise muazzam sopa balta çekiç her silah düşmana vurduğumuz anda düşmanın acısını hissedebiliyorsunuz.Her aksiyona girdiğinizde yakın dövüşü tercih ettiğinizde gerçekten çok tatmin oluyor ve eğleniyorsunuz.,,3-) Atmosfer,Atmosfer için ne diyebiliceğimi bilmiyorum girdiğiniz her mekanda bir gerginlik bir gerilim hissine kapılıyorsunuz o karanlık içerinde oyunu oynayamıyor her takırtıda gerilim artıyor ve üzerinize koşan hastalıklılar ve takırdayanlar karşısında ne yapacağınızı bilemiyorsunuz bazen.,,4-) Grafikler,Grafikler senesine göre çok başarılı kaplama kaliteleri uzak çizim detayları animasyonların göze batmaması gerçekten çok iyi bir işçilik olduğunu hissettiriyor.,,5-) Ses - Müzikler,Last Of Us' ın o müzikleri her zaman dinliyorum bazen anılara dalıyor bazen hüzünleniyor ve ağlıyor bazen ise o dünyayı o vahşeti hatırlıyor ve Gustavo Santaolalla' ya Teşekkürler ediyorum...,,6-) Bölüm Tasarımları,Her biri üzerinde düşülmüş özenle hazırlanmış ve bir mantık çerçevesi içerisinde hazırlanmış oyunlarda az görebileceğiniz cinsten bölüm tasarımları içeriyor,,7-) Oyun Sonrası düşünceler,Oyunu bitirdiğiniz anda aklınızda kalan çok soru oluyor her şey bitti mi ? Yoksa her şey yeni mi başlamıştı ? sorular yanıtlanmışmıydı yoksa sorulan sorular mı yanlıştı ve en önemliside,BEN BİR DAHA NE ZAMAN BU KADAR İYİ BİR OYUN OYNAYABİLİRİM ? oluyor...,,- Bu inceleme diğer kişiler tarafından yapılan incelemeler dışında ve tarafsız olarak şahsi incelememdir.",normal,ps3,2020-12-05,Turkish,0,0,9,train
marcos83,A jogatina e boa mas o fato de ter matado meu personagem favorito enterrou o game para mim . The last nunca mais .,normal,ps3,2020-12-05,Portuguese,0,0,5,train
Arfon,"This game is amazing. Perfect mix between a drama movie with well executed characters and an inmersive gameplay with amazing landscapes. Both narrative and gameplay complement each other, there isn't any flaw I could say about the game. It really is a masterpiece.",expanded,ps3,2020-12-04,English,0,0,10,train
Dilansiba,Es un gran juego los chasqueadores son mis enemigos favoritos y una gran historia,normal,ps3,2020-12-04,Spanish,0,0,10,test
genarkandur,I already love father-child relationship stories and this game handle this well. Story is classic but the narrative is strong. It's easy to get emotional. Gameplay is good enough for me. Especially melee combat is very satisfying. Animations and graphics are the top points of ps3. 10/10,expanded,ps3,2020-12-01,English,0,0,10,train
MemeCruk,"Este juego es una puta maravilla. da igual cuantas veces lo haya jugado, siempre que lo rejuego el juego me sigue me sorprendiendo.,,Su historia es de lo mejor que e podido ver en toda mi vida jugando videojuegos, en un mundo ambientado 20 años despues en un apocalipsis formado a un hongo el cual vuelve locas a las personas, eres un hombre llamado Joel el cual esta destrozado por la muerte de su hija al inicio del brote, la mision del juego es llevar a Elli, una niña, a un hospital para poder hayar una cura contra el hongo cordyceps. Y no hablemos de sus graficos, muy avanzados para su epoca,,Han pasado 7 años desde el estreno de este juego y sigue sin dejar de sorprenderme, si tienes la oportunidad de jugarlo hazlo.",normal,ps3,2020-11-30,Spanish,0,0,10,train
JerseyBean,"Great game with a great story, if you like survival horror games like Res Evil or The Evil Within then this is right up your street.",expanded,ps3,2020-11-29,English,0,0,9,train
dvanwinkle,"By far my absolutely all time favorite entertainment experience. If there is a perfect game, to me this is it.",expanded,ps3,2020-11-28,English,0,0,10,train
Elina55,"The last of us это просто лучшее что я видела. Эта игра о том что даже в таком темном мире можно найти свет. О том насколько разные герои могут стать семьёй, и то что этот мир вакцина не спасёт. Ну будет вакцина, и что? Люди всё равно будут убивать. Этот мир не спасёт вакцина, его спасут только люди...",normal,ps3,2020-11-26,Russian,0,0,10,test
Ali10reza,"Masterpiece,Masterpiece,Masterpiece,Masterpiece,Masterpiece,Masterpiece,Masterpiece",expanded,ps3,2020-11-22,Romanian,0,0,10,train
Rui_Alves,I played this game a long time ago on my launch day PS3 and i remember it being the most chilling experience in videogames of all time. Since we can't really leave the house rn i think you should definetly play or replay this game if you have a PS3 at home. If you have a PS4 or a PS5 you can buy the remastered version for only 20€. 1010,expanded,ps3,2020-11-21,English,0,0,10,train
Aldoxct6,Joel dies after this game si that make this game a **** like travis batbman,normal,ps3,2020-11-20,English,5,2,0,train
Bato,"Story: 10/10,Gameplay: 9/10,Graphics: 10/10,Enjoyability: 10/10,Overall: 10/10",expanded,ps3,2020-11-18,English,1,0,10,train
Luisslopezz,an excellent game with a very good plot without a doubt is a gem for players,expanded,ps3,2020-11-15,English,0,0,9,test
themadlad01,A really good game with a great story and characters. Really atmospheric. Give it a try. Not as great as many other games out there but definitely worth it.,expanded,ps3,2020-11-15,English,1,0,8,test
ObjectiveView,"Masterpiece. The Last of Us is telling a simple story. But the game is telling this story in a perfect way. And also characters, actings, graphics, atmosphere is amazing.",expanded,ps3,2020-11-13,English,0,0,9,train
drewbrees9,"SCREENPLAY: 10,GRAPHICS: 10,GAMEPLAY: 10,One of the best games I've ever played.",expanded,ps3,2020-11-12,English,0,0,10,test
Ne_Eretik,ЛЮБИМАЯ И ЛУЧШАЯ ИГРА!!!ЛУЧШИЙ СЮЖЕТ!!!РАДИ ЭТОЙ ИГРЫ СТОИТ КУПИТЬ ПЛЭЙСТЭЙШН!!!,expanded,ps3,2020-11-12,Russian,0,0,10,test
MemeCityMayor,"It good,It very good,It super good,It awesome,It amazing,I don't feel like writing anymore for this review so I'm done",expanded,ps3,2020-11-11,English,0,0,10,train
EwokSmuggler,"Story is Amazing, Gameplay is Great, and Factions Multiplayer is extremely fun and addicting. I spent countless hours playing the multiplayer portion of the game and it freaking rocks.",expanded,ps3,2020-11-09,English,0,0,10,train
makkusu1,"The Last of Us - самый громкий тайтл Sony,Сюжет хороший, геймплэй, хоть казуальный, но неплохой, классный графон для PS3!,Хорошая игра, она есть и на PS4. Рекомендую к покупке!",expanded,ps3,2020-11-07,Russian,0,0,10,test
RuskiDuski,"Best game I have ever played! I loved every second of it, the only flaw to it is the bad framerate but the rest is amazinh",expanded,ps3,2020-11-06,English,0,0,10,train
BeanLaden,"Best game ever. Amazing storyline, incredibly surprising good graphics in cinematics for it´s generation and time. Even if you don't like post-apocalyptic games, you'll love The Last of Us",expanded,ps3,2020-10-30,English,0,0,10,train
Chubac,Great story but the gameplay is not as groundbreaking as I expected. Kinda overrated.,expanded,ps3,2020-10-29,English,0,0,7,train
Mahmus,"While definitely more impressive from a storytelling than a game-play point of view, The Last of Us gives the player on of the most heartbreaking and well written stories of recent memory.",expanded,ps3,2020-10-20,English,0,0,10,test
Andre6181,"Um dos melhores jogos da geração, historia boa, gameplay bem explorada, ótima trilha sonora mas esperava um pouco mais do final",expanded,ps3,2020-10-19,Portuguese,0,0,8,train
gonfreecss123,"One of the greatest games of all times, your history, graprichs (at that time, for ps3), ambiance and combined with a spectacular soundtrack gaves an incredible game. This game, a hundred per cent,,was worth every penny.",expanded,ps3,2020-10-16,English,0,0,10,train
marcoasanchez29,he last of us game is incredible with a huge narrative well done and they are a lot of strategy,expanded,ps3,2020-10-16,English,0,0,9,train
SuDzUkA,"I passed this game many times (real many, over 11 times) and I wanna estimate this amazing and truly legandary game, anyway i'm starting. Primarily I must say about plot, It's wonderful! When you play this game you dive into it, you empathize whis Allie and Joel all the way. Good- worked persons and their characters. Open world where even the smallest detail is worked out. Physics of guns (and fight) is very realistic, you feel the weapon, feel when bullet shoot the enemyes and when you fight you feel like your fist breaks enemyes skull. So I recommend this game and give it 10 points awarded.",normal,ps3,2020-10-15,English,0,0,10,train
ichibiryak,The Naughty dog made a freaking great new universe based on same-old-zombies theme. Amazing setting and story. Very great characters. Must play. That's all. The best single console game ever. Hope they could make a PC next gen full remake someday.,expanded,ps3,2020-10-14,English,0,0,10,train
LironesAlviento,"Que decir de este juego, es un icono de la PS3 y de los videojuegos en general, no es que invente nada nuevo pero todo lo que hace lo hace muy bien.",expanded,ps3,2020-10-14,Spanish,0,0,9,train
Liumpeiz,"La primera vez que lo ví no lo quise jugar, pero cuando lo hice lo amé mucho.",expanded,ps3,2020-10-14,Spanish,0,0,9,test
Koruchekov,"Несмотря на то, что я не любитель интерактивного кинца, коим и является данное произведение, игра мне очень понравилась, за атмосферу и особенно за финальный твист",normal,ps3,2020-10-12,Russian,0,0,8,test
Alham_Zain,What can I say... BEST GAME EVER... I fricking love this game and suggest everyone to play it,expanded,ps3,2020-10-11,English,0,0,10,train
DeccalAhmethan,this weed may be the most beautiful story game I've ever played in my life so beautiful fiction so beautiful episode design unlike tlou part 2 I've never seen in any other game,expanded,ps3,2020-10-09,English,0,0,10,train
brownra314,"This game is astounding. It ruined gaming for me, since everything else is just worthless by comparison.",expanded,ps3,2020-10-07,English,0,0,10,test
SamirMrtnz,"Una obra maestra, el gameplay es divertido, pero mas que todo resalta por la historia que es excepcional",expanded,ps3,2020-10-06,Spanish,0,0,10,train
AlienOnEarth,its awesome also i think they rushed the side character  a littlebit  bec. they just killed her without us knowing where we met her in the first place,normal,ps3,2020-09-30,English,0,0,10,train
hsntai,"simplemente una obra de arte, no tengo palabras para describir lo mucho que amé este juego. en historia, guión, fotografía y sobre todo algo que amé demasiado que fue la banda sonora. el desarrollo de personajes sobre todo enfocado en el de Joel (que es uno de los mejores personajes de videojuegos en mi opinión). no quiero dar spoilers ni nada, sólo quería decir que amé este juego y ya. 100% recomendado.",normal,ps3,2020-09-29,Spanish,0,0,10,train
MacMountainGoat,"No game I have ever played has made me fall in love with characters so deeply. By the end of this game, you have an undeniable connection to these characters. They are filled with flaws, they make horrible decisions, they are **** holes, but they are real humans just like you. They game play alone is enough to make this game a 10/10. No other game makes your heart pound and literally feel like you are (Batman) being chased by zombies. When hiding from zombies in the game, in the real world you will try to slow your beating heart and calm your breath for fear of being heard by a clicker because you feel like you are actually there. The story on top of this exhilarating game play, brings the entire game into that category of legendary masterpieces, not just in the video game genre, but in all of media and dare I say art.",normal,ps3,2020-09-27,English,0,0,10,train
GcanglangHN,我来给1代打满分，是想突出二代有多垃圾，很难想象他们是如何把一部如此优秀的游戏作品的续作做的如此不堪,expanded,ps3,2020-09-27,Not identified,0,0,9,train
Georgespyr,A modern masterpiece. Amazing storytelling combined with great gameplay and endless amusement.,expanded,ps3,2020-09-26,English,0,0,10,test
daavizl,"Incrível em todos os aspectos, melhor jogo que já joguei na minha vida. Gráficos ótimos pra sua época, história lindíssima e emocionante, gameplay excelente, trilha sonora sem igual. The Last of Us é merecidamente o jogo da década!",expanded,ps3,2020-09-26,Portuguese,0,0,10,train
BradfootGaming,"Disclaimer: 1st playthrough in 2020.,,I found myself enjoying the story and characters more and more as the game went on.  By the end I was interested in them,  The 1st half or 60% I was not interested, it felt bland and kind of boring.  I'm glad I stuck it out until the end, it was a positive experience overall. I noticed some bugs early on too.  It told me how to craft a healh kit when I didn't have the supplies to craft a healthkit so I had to play with huge block letters in the middle of the screen until I had the supplies needed.  Another one where the game directed you to just run for the exit, Ellie needed to jump through a window before I could go through.  She got hung up on the environment and was glitching for a long time while I had to waste all ammo and supplies on an endless zombie rush.  It was clearly not meant to be an ammo using spot and I was severely handicapped for the next few scenes.,,Overall a decent game,  my two thoughts through most of the game were ""Uncharted is much better than this"" and ""where are all the zombies.""",normal,ps3,2020-09-24,English,0,0,7,train
MarcoAlvarez,"Gran gameplay, gran narrativa, gran sonido, grandes graficos,todo es excelente en este juego, no hay juego cuya narrativa me haya gustado mas que en este, totalmente recomendado de mi parte, una obra mestra",expanded,ps3,2020-09-23,Spanish,0,0,10,train
ReDFloW,"Mi videojuego favorito sin duda. Su historia es apasionante. Sus escenarios increíbles. Los combates muy tensos y divertidos. Los personajes muy carismáticos.,,Story: 10,Characters: 10,Gameplay: 10,Graphics: 10,Audio: 10",expanded,ps3,2020-09-23,Spanish,0,0,10,test
SakiPostalGurl,"This game is beautiful, rich, and the characters are great. There's nothing much I could say about this except it's a great game.",expanded,ps3,2020-09-16,English,0,0,9,test
Scaee,A perfect game in every sense. Beautiful and captivating story from start to finish. Unfortunately only to be permanetly destroyed by political correctness starting with the Left Behind DLC and ending in TLOU Part II. RIP.,expanded,ps3,2020-09-13,English,0,0,10,train
Vasoklasok,The last of us part 1 is very popular game in my collection. I liked this story and story+ . Original story line and emotional the characters . Thanks for this game,expanded,ps3,2020-09-13,English,0,0,8,train
hbkrvd316,Its definitely the greatest game from the last console generation. Its a must play game you need to have in your gaming library.,expanded,ps3,2020-09-09,English,0,0,10,train
